"ID","Date_perte_materiel"
1185,2024-04-09 11:47:20.000
1188,2021-04-09 11:45:01.000
1194,2025-06-25 16:22:14.000
1212,2022-03-09 11:25:06.000
1214,2022-03-09 11:40:49.000
1235,2022-03-09 11:22:28.000
1237,2022-03-09 11:24:24.000
1254,2022-03-09 11:45:41.000
1263,2021-04-09 11:44:59.000
1266,2022-03-09 11:35:34.000
1282,2022-03-09 11:50:33.000
1284,2021-04-09 11:14:51.000
1288,2022-03-09 11:39:43.000
1296,2022-12-10 11:45:52.000
1299,2024-06-26 14:57:51.000
1306,2022-03-09 11:44:24.000
1310,2024-04-09 11:50:44.000
1314,2023-06-09 11:27:47.000
1322,2024-06-26 14:57:51.000
1328,2022-03-09 11:21:35.000
1329,2024-04-09 11:49:42.000
1337,2021-04-09 11:41:27.000
1345,2021-04-09 11:26:08.000
1350,2022-03-09 11:45:50.000
1352,2021-04-09 11:46:03.000
1375,2024-06-26 14:57:51.000
1390,2023-06-09 11:23:27.000
1397,2022-03-09 11:47:30.000
1399,2021-04-09 11:13:03.000
1404,2023-06-09 10:33:18.000
1424,2021-03-09 11:07:07.000
1432,2024-06-29 09:28:19.000
1437,2024-06-28 10:08:42.000
1477,2024-04-09 11:47:17.000
1483,2021-04-09 11:30:40.000
1490,2021-04-09 11:31:16.000
1500,2021-04-09 10:59:52.000
1511,2022-03-09 11:17:02.000
1516,2023-07-09 10:15:50.000
1539,2022-02-09 10:56:29.000
1554,2022-02-09 10:51:45.000
1558,2023-08-09 11:24:06.000
1566,2024-05-09 08:22:30.000
1571,2023-08-09 11:23:29.000
1612,2023-07-09 10:17:07.000
1619,2024-06-28 08:54:50.000
1621,2022-03-09 10:34:05.000
1622,2024-06-28 08:54:50.000
1624,2021-04-09 10:08:43.000
1625,2021-04-09 11:22:06.000
1627,2023-06-09 10:22:44.000
1636,2021-04-09 10:15:23.000
1642,2023-06-09 10:12:35.000
1643,2021-04-09 11:33:34.000
1654,2023-06-09 10:11:07.000
1659,2022-03-09 10:20:05.000
1728,2024-04-09 11:01:36.000
1732,2023-06-09 11:15:04.000
1735,2024-04-09 11:16:24.000
1736,2024-04-09 11:15:19.000
1757,2024-06-29 10:53:09.000
1799,2023-06-09 11:15:06.000
1803,2023-06-09 10:10:51.000
1813,2023-06-09 11:13:38.000
1861,2023-10-11 08:06:35.000
1880,2024-04-09 11:28:45.000
1905,2024-04-09 10:34:14.000
1940,2023-11-17 11:26:35.000
1949,2023-11-17 10:51:04.000
1951,2023-11-17 10:50:49.000
1956,2023-11-17 10:49:13.000
2086,2025-06-25 12:10:40.000
2133,2025-06-25 12:20:44.000
2213,2025-06-24 14:24:44.000
